user_vec,shop_vec,dist_score,distance [m],cosθ,oaiso_score,id,shop_name,URL,genre,oaiso_genre,lat,lng,address
"0,1,0,1,0,0,0,1,0","0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0",0.5801195236709251,167.95219053162995,1.0,1.1560876531406177,23314,阿吽,https://tabelog.com/tokyo/A1311/A131101/13074999/,居酒屋,居酒屋,35.70715556,139.7729972,東京都台東区上野5-26-5
"0,1,0,1,0,0,0,1,0","0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0",0.5473983628967146,181.04065484131416,1.0,1.1400197225057132,24142,和光,https://tabelog.com/tokyo/A1311/A131101/13025266/,焼肉,焼肉・ホルモン・鍋,35.70844722,139.7731778,東京都台東区上野6-3-6
"0,1,0,1,0,0,0,1,0","0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0",0.49279130400744625,202.8834783970215,1.0,1.1148288071741594,24377,くら鳥,https://tabelog.com/tokyo/A1311/A131101/13003614/,焼鳥,Ｂ級和食,35.70581583,139.7756839,東京都台東区台東4-6-1
"0,1,0,1,0,0,0,1,0","0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0",0.49189105930339394,203.24357627864242,1.0,1.1144311617244984,22734,郷土料理たるや,https://tabelog.com/tokyo/A1311/A131101/13078489/,郷土料理（その他）,高級和食,35.70878556,139.7764025,東京都台東区東上野1-20-8第3津多屋ビルB1F
"0,1,0,1,0,0,0,1,0","0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0",0.48177893355204104,207.28842657918358,1.0,1.1100049282838982,24689,やっちゃ場,https://tabelog.com/tokyo/A1311/A131101/13083650/,居酒屋,居酒屋,35.70584889,139.7758814,東京都台東区台東4-5-7鈴木ビル1F
"0,1,0,1,0,0,0,1,0","0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0",0.47222230684893335,211.11107726042667,1.0,1.1058905493247186,23696,ノランチェンバン,https://tabelog.com/tokyo/A1311/A131101/13139863/,焼肉,焼肉・ホルモン・鍋,35.70937639,139.7751767,東京都台東区東上野2-15-3
"0,1,0,1,0,0,0,1,0","0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0",0.44375086072001013,222.49965571199596,1.0,1.0940360260931765,24444,鮮魚酒場 魚辰,https://tabelog.com/tokyo/A1311/A131101/13130127/,魚介料理・海鮮料理、居酒屋,高級和食,35.70914949,139.7734103,東京都台東区上野6-8-4五味ビルB1F
"0,1,0,1,0,0,0,1,0","0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0",0.41292465207283824,234.8301391708647,1.0,1.0818996110034769,66279,串焼きだるま,https://tabelog.com/tokyo/A1311/A131101/13019941/,焼鳥、鳥料理、もつ焼き,Ｂ級和食,35.70772136445568,139.77222454973892,東京都文京区湯島3-40-5
"0,1,0,1,0,0,0,1,0","0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0",0.3962396542718998,241.50413829124008,1.0,1.0756420704014484,21779,あいちゃん,https://tabelog.com/tokyo/A1311/A131101/13078894/,居酒屋,居酒屋,35.70928611,139.7732833,東京都台東区上野6-9-23
"0,1,0,1,0,0,0,1,0","0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0",0.39349120090943474,242.6035196362261,1.0,1.0746326466254175,22404,エベレストアジアンダイニング,https://tabelog.com/tokyo/A1311/A131101/13162545/,インド料理、ネパール料理、アジア・エスニック料理（その他）,アジア・エスニック、中華料理,35.70966278,139.7751822,東京都台東区東上野2-15-6
